band	Species	sex	Time period	year	Early v Late	weight	wing	tarsus	bill length	bill depth	bill width	PC1 body	PC1 beak	PC2 beak
15182	fortis	female	2	1988	Early	15.3	67	18.06	10.1	8.9	8.72	-1.192960425	-0.277981916	-0.844402924
15184	fortis	unknown	2	1988	Early	14.3	66	18.8	9.5	8.7	8.2	-1.21996635	-1.094907471	-0.840365403
15197	fortis	female	2	1988	Early	15.36	65.33	18.8	11.04	9.67	8.7	-1.095976397	0.552837356	-0.628432115
15203	fortis	female	2	1988	Early	16.62	66.84	19.25	11.49	9.81	9	-0.303508351	1.072550399	-0.583629742
15216	fortis	unknown	2	1988	Early	18.3	67	19	11.9	10.6	9.1	-0.017394344	1.879792835	-0.725264867
15225	fortis	male	2	1988	Early	16.5	71	19.05	10.8	7.8	7.9	0.310105538	-1.682561017	0.382274699
15229	fortis	female	2	1988	Early	15.76	65.33	19.4	10.99	8.96	8.65	-0.694175153	-0.043119123	-0.345593791
15232	fortis	male	2	1988	Early	19.6	70.2	19.36	10.52	8.98	8.44	1.04025731	-0.362773136	-0.509629573
15246	fortis	female	2	1988	Early	16.21	66.33	19.09	10.64	8.76	7.85	-0.571719317	-1.053951082	-0.067947625
15247	fortis	unknown	2	1988	Early	15.7	64	18.1	10.3	9.3	8.5	-1.617158311	-0.128415177	-0.78857273
15248	fortis	female	2	1988	Early	16.25	62.5	18	9.1	8.4	8	-1.810679309	-1.625630719	-0.841926869
15261	fortis	male	2	1988	Early	15.06	69.83	19.74	11.34	9.21	9.05	0.12562327	0.625507744	-0.448699738
15304	fortis	male	2	1988	Early	18.8	69	19.6	12.3	10.2	9.1	0.765338756	1.694043716	-0.344421539
15313	fortis	female	2	1988	Early	16.16	63.83	18.94	10.04	8.87	8.2	-1.108068904	-0.811582475	-0.61219704
15337	fortis	female	2	1988	Early	16.57	63.3	18.97	10.47	8.97	8.77	-1.09309379	-0.071339687	-0.693678641
15338	fortis	unknown	2	1988	Early	19.1	67	18.9	11.1	10.3	9.1	0.115049093	1.423833415	-1.043899209
15358	fortis	male	2	1988	Early	16.46	66.33	19.8	11.34	9.87	8.8	-0.147641015	0.884596835	-0.592856775
15360	fortis	unknown	2	1988	Early	17.2	69	19	10.5	9.5	8.9	0.087430928	0.459420762	-0.953939958
15368	fortis	female	2	1988	Early	14.36	65.33	18.5	10.19	7.97	7.95	-1.480948075	-1.682799574	-0.04562532
15376	fortis	female	2	1988	Early	15.2	65.5	18.45	10.9	9.35	8.8	-1.283063823	0.366776001	-0.625120598
15387	fortis	male	2	1988	Early	18.85	69	19.5	10.9	8.9	8.45	0.725215578	-0.304069109	-0.273527835
15389	fortis	female	2	1988	Early	17.37	68.67	18.93	10.83	9.1	8.73	0.031349403	0.092099201	-0.528811417
15390	fortis	female	2	1988	Early	18.75	67.5	19.35	11.15	9.6	8.65	0.356323036	0.484368617	-0.515476323
15392	fortis	male	2	1988	Early	16.86	70.33	20.15	11.64	10.51	9.25	0.840937129	1.879679082	-0.904846449
15396	fortis	female	2	1988	Early	17.03	64.33	19.03	10.63	9.27	8.63	-0.77194603	0.067452532	-0.658480096
15399	fortis	unknown	2	1988	Early	17.9	66	20	10.6	9.3	9.1	0.227884834	0.527668462	-0.915791124
15402	fortis	female	2	1988	Early	13.96	64.33	18.95	9.99	8.36	8.2	-1.519620803	-1.209615007	-0.434248551
15404	fortis	female	2	1988	Early	13.96	64.83	18.85	10.59	8.86	8.15	-1.481767679	-0.708258127	-0.281701003
15431	fortis	female	2	1988	Early	16.01	66.83	18.74	11.29	8.91	8.2	-0.708953005	-0.421666309	0.058358828
15454	fortis	male	2	1988	Early	16.19	67.33	19.79	11.14	9.21	8.83	-0.035966271	0.359036213	-0.451493007
15471	fortis	male	2	1988	Early	18.6	71	19.55	11.6	10.35	9.65	1.051430156	2.127623952	-1.057054777
15482	fortis	female	2	1988	Early	14.6	63	18.6	10.8	9.45	8.8	-1.791079403	0.413213281	-0.72033143
15488	fortis	male	2	1988	Early	16.45	69	18.3	10.75	9	8.65	-0.446529022	-0.082116499	-0.493544821
15613	fortis	female	2	1988	Early	14.9	63	18	10.4	9.5	8.7	-2.031818473	0.240726216	-0.911533827
15617	fortis	male	2	1988	Early	16.91	70.83	18.95	11.79	8.71	8.6	0.322390882	-0.048365632	0.218901577
15630	fortis	male	2	1988	Early	15.46	69.84	19.09	10.24	8.96	8.45	-0.116131112	-0.448923603	-0.660254427
15659	fortis	female	2	1988	Early	15.22	65.33	19	11.04	8.91	8.65	-1.024933593	-0.066337763	-0.297988375
15665	fortis	male	2	1988	Early	17.19	71.33	20.29	11.14	9.91	9.13	1.168106593	1.170462781	-0.879444608
15681	fortis	male	2	1988	Early	16.81	67.83	19.79	12.29	10.06	9.35	0.196169541	1.823237812	-0.415200749
